TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Viburnum opulus 'Roseum',,plant,,,,,,1976-0556.02,HUBC,14008/0-0223-1976,,,U,,,1
Akebia quinata,,plant,,,,,,1976-0563.01,1D,14016/0-0223-1976,,,G,,,1
Aristolochia macrophylla,,plant,,,,,,1976-0564.88,8N02,14017/0-0223-1976,,,G,,,1
Aristolochia macrophylla,,plant,,,,,,1976-0564.89,HUBC,14017/0-0223-1976,,,G,,,1
Celastrus scandens,,plant,,,,,,1976-0565.01,1D,14020/0-0223-1976,,,G,,,2
Hedera colchica 'Dentata Variegata',,plant,,,,,,1976-0568.05,3AF4,14031/0-0223-1976,,,G,,,1
Hedera colchica 'Dentata Variegata',,plant,,,,,,1976-0568.10,HUBC,14031/0-0223-1976,,,G,,,1
Hydrangea petiolaris,,plant,,,,,,1976-0570.01,3AC9,14034/0-0223-1976,,,G,,,1
Jasminum nudiflorum,,plant,,,,,,1976-0571.02,1P03,14036/0-0223-1976,,,G,,,1
Jasminum nudiflorum,,plant,,,,,,1976-0571.03,2A02,14036/0-0223-1976,,,G,,,2
Jasminum nudiflorum,,plant,,,,,,1976-0571.04,2A02,14036/0-0223-1976,,,G,,,3
Jasminum nudiflorum,,plant,,,,,,1976-0571.05,HUBC,14036/0-0223-1976,,,G,,,1
Jasminum officinale,,plant,,,,,,1976-0572.01,1D,14037/0-0223-1976,,,G,,,1
Lonicera × brownii 'Dropmore Scarlet',,plant,,,,,,1976-0573.01,1D,14039/0-0223-1976,,,G,,,1
Lonicera acuminata,,plant,,,,,,1976-0574.03,3AD5,14040/0-0223-1976,,,G,,,1
Parthenocissus quinquefolia,,plant,,,,,,1976-0575.01,1D,14042/0-0223-1976,,,G,,,1
Parthenocissus tricuspidata 'Lowii',,plant,,,,,,1976-0577.01,1D,14044/0-0223-1976,,,G,,,1
Parthenocissus tricuspidata 'Veitchii',,plant,,,,,,1976-0578.01,1D,14045/0-0223-1976,,,G,,,1
Wisteria sinensis,,plant,,,,,,1976-0581.01,1D,14050/0-0223-1976,,,G,,,1
Weigela middendorffiana,,plant,,,,,,1993-0003.02,HUBC,14066/1-0223-1993,,,U,,,1
Hypericum calycinum,,plant,,,,,,1976-0596.01,1E01,14067/0-0223-1976,,,G,,,2000
Eremogone gypsophiloides,,seed,,,,,,1976-0597.01,LAM,14072/0-0130-1976,,,G,,,1
Eremogone gypsophiloides,,seed,,,,,,1976-0597.02,HUBC,14072/0-0130-1976,,,G,,,1
Rosa roxburghii f. normalis,,seed,,,,,,1975-0932.01,3AC2,14129/0-0278-1975,,,G,,,2
Rosa roxburghii f. normalis,,seed,,,,,,1975-0932.02,3ADA,14129/0-0278-1975,,,G,,,2
Rosa roxburghii f. normalis,,seed,,,,,,1975-0932.03,3AC3,14129/0-0278-1975,,,G,,,3
Rosa villosa,,seed,,,,,,1975-0933.01,3AE6,14130/0-0278-1975,,,G,,,1
Berberis julianae,,unrooted cutting,,,,,,1976-0609.01,3AC2,14149/0-0227-1976,,,G,,,1
Berberis julianae,,unrooted cutting,,,,,,1976-0609.02,3AC9,14149/0-0227-1976,,,G,,,1
Berberis julianae,,unrooted cutting,,,,,,1976-0609.03,3AB9,14149/0-0227-1976,,,G,,,1
Berberis julianae,,unrooted cutting,,,,,,1976-0609.04,3AD9,14149/0-0227-1976,,,G,,,12
Narcissus bulbocodium,,seed,,,,,,1974-1293.01,LEU,14158/0-0157-1974,,,G,,,many
