"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"A12791",4845,"Baldellia ranunculoides","LeafShape","linear","[7]","categorical","general reference","Davis1965","U",,,,,
"A16128",4845,"Baldellia ranunculoides","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,
"A01519",4845,"Baldellia ranunculoides","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","measure","Maremmani2003","C",44.37,12.23,,"Low",
"A16129",4845,"Baldellia ranunculoides","DispMode","G","[9]","categorical","compilation","Correia2018","U",,,,,
"A12273",4845,"Baldellia ranunculoides","Diaspore","seed","[3]","categorical","general reference","Davis1965","U",,,,,"f.a. achene"
"A12310",4845,"Baldellia ranunculoides","FruitType","dry","[2]","categorical","general reference","Davis1965","U",,,,,"f.a. achenes"
"A04909",3869,"Liquidambar orientalis","GrowthForm","tree","[13]","categorical","general reference","Greuter1984","U",,,,,
"A12536",3869,"Liquidambar orientalis","LeafDivision","simple","[2]","categorical","general reference","Davis1965","U",,,,,
"A00013",3869,"Liquidambar orientalis","LeafPhenology","winter deciduous","[4]","categorical","experience","Ozturk2008","M",,,,,
"A00011",3869,"Liquidambar orientalis","LeafShape","broad","[7]","categorical","experience","Ozturk2008","M",,,,,
"A13014",3869,"Liquidambar orientalis","LeafArea","very large","[5]","semi-quantitative","general reference","Davis1965","U",,,,,
"A00012",3869,"Liquidambar orientalis","Height","35","m","quantitative","experience","Ozturk2008","M",37.86303,28.272321,70,"Low",
"A02813",3869,"Liquidambar orientalis","FruitType","dry","[2]","categorical","general reference","Consensus2017","U",,,,,
"A00607",3869,"Liquidambar orientalis","RespFire","yes","[2]","boolean","experience","Tavsanoglu2014","M",36.88,28.21,,"Mod",
"A09725",5765,"Amaranthus blitoides","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A08584",5765,"Amaranthus blitoides","SLA","20.05","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08902",5765,"Amaranthus blitoides","LDMC","212.19","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08740",5765,"Amaranthus blitoides","SeedMass","1.4","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A04142",1812,"Anabasis articulata","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A02120",1812,"Anabasis articulata","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"C02588",1812,"Anabasis articulata","SoilSeedBank","transient|veg","[7]","semi-quantitative conditional","measure","Buhk2005b","W",37.87,-1.48,,"Low",
"A08252",5279,"Arthrocnemum macrostachyum","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06766",5279,"Arthrocnemum macrostachyum","StemDensity","0.67","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A04232",1905,"Atriplex halimus","GrowthForm","shrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A07045",1905,"Atriplex halimus","LeafLifespan","11","months","quantitative","measure","VillarSalvador2000","W",,,,,"f.c. data from phenomorphologic herbarium of IPE-CSIC"
"A14025",1905,"Atriplex halimus","LeafArea","288.13","mm2","quantitative","measure","NavarroCano2017b","W",39.4,-1.4,,"VLow",
"A06988",1905,"Atriplex halimus","LNCm","27.05","mg/g","quantitative","measure","VillarSalvador2000","W",,,,,"f.a. Sampling: spring-summer"
"A14266",1905,"Atriplex halimus","SLA","9.605","mm2/mg","quantitative","measure","NavarroCano2017b","W",39.4,-1.4,,"VLow",
"A13777",1905,"Atriplex halimus","Height","2","m","quantitative","measure","Palacio2017","W",41.63,-0.69,320,"High",
"A06767",1905,"Atriplex halimus","StemDensity","0.65","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A16113",1905,"Atriplex halimus","NutritionalRelat","no","[8]","categorical","compilation","Correia2018","U",,,,,
"A01540",1905,"Atriplex halimus","NutritionalRelat","no","[8]","categorical","measure","Maremmani2003","C",44.37,12.23,,"Low",
"A14509",1905,"Atriplex halimus","RootDepth","0.425","m","quantitative","measure","NavarroCano2017b","W",39.4,-1.4,,"VLow",
"A13767",1905,"Atriplex halimus","RootDepth","8","m","quantitative","compilation","Palacio2017","W",30.92,34.81,,"VLow",
"C07973",1905,"Atriplex halimus","RootDepth","1.55","m","quantitative","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low","f.a. maximum rooting depth"
"A14737",1905,"Atriplex halimus","DispMode","HN","[9]","categorical","general reference","Consensus2017","U",,,,,
"A02121",1905,"Atriplex halimus","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A08762",1905,"Atriplex halimus","SeedMass","0.62","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A10325",1905,"Atriplex halimus","SeedMass","1.11","mg","quantitative","measure","Peman2012","W",40,-4,,"VLow",
"A10209",1905,"Atriplex halimus","SeedMass","0.4","mg","quantitative","measure","Peman2012","W",39.5,-0.75,,"Low",
"A08253",5281,"Atriplex portulacoides","GrowthForm","shrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06768",5281,"Atriplex portulacoides","StemDensity","0.55","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A16115",5281,"Atriplex portulacoides","NutritionalRelat","endomycorrhizal symbiosis","[8]","categorical","compilation","Correia2018","U",,,,,
"A16116",5281,"Atriplex portulacoides","DispMode","H","[9]","categorical","compilation","Correia2018","U",,,,,
"A08254",5283,"Atriplex semibaccata","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A14026",5283,"Atriplex semibaccata","LeafArea","25.9","mm2","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14267",5283,"Atriplex semibaccata","SLA","10.791","mm2/mg","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A13820",5283,"Atriplex semibaccata","Height","0.1725","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A06769",5283,"Atriplex semibaccata","StemDensity","0.4","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A14510",5283,"Atriplex semibaccata","RootDepth","0.1725","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14738",5283,"Atriplex semibaccata","DispMode","N","[9]","categorical","general reference","Consensus2017","U",,,,,
"A08219",5195,"Bosea cypria","GrowthForm","shrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06712",5195,"Bosea cypria","StemDensity","0.5","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A04313",1984,"Camphorosma monspeliaca","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A07049",1984,"Camphorosma monspeliaca","LeafLifespan","7","months","quantitative","measure","VillarSalvador2000","W",,,,,"f.c. data from phenomorphologic herbarium of IPE-CSIC"
"A06990",1984,"Camphorosma monspeliaca","LNCm","29.91","mg/g","quantitative","measure","VillarSalvador2000","W",,,,,"f.a. Sampling: spring-summer"
"C07984",1984,"Camphorosma monspeliaca","RootDepth","0.55","m","quantitative","measure","GuerreroCampo2006","W",42.11,-1.32,,"Low","f.a. maximum rooting depth"
"A02122",1984,"Camphorosma monspeliaca","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
"A09746",5820,"Chenopodium album","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A08632",5820,"Chenopodium album","SLA","13.39","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A08950",5820,"Chenopodium album","LDMC","210.34","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A16283",5820,"Chenopodium album","NutritionalRelat","no","[8]","categorical","compilation","Correia2018","U",,,,,
"A16284",5820,"Chenopodium album","DispMode","G","[9]","categorical","compilation","Correia2018","U",,,,,
"A08791",5820,"Chenopodium album","SeedMass","0.6","mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A11796",5820,"Chenopodium album","ChemCues","unaffected|smk","[3]","semi-quantitative conditional","measure","Ergan2017","M",37.07,27.96,280,"Mod","f.c. Aquaeous smoke treatment with 3 concentrations"
"A11797",5820,"Chenopodium album","OtherCues","stimulation|lgt","[3]","semi-quantitative conditional","measure","Ergan2017","M",37.07,27.96,280,"Mod",
"A08255",5285,"Halocnemum strobilaceum","GrowthForm","shrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06770",5285,"Halocnemum strobilaceum","StemDensity","1","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
